Feature,Coefficient,Abs_Coefficient
avg_passing,1.154318351359252,1.154318351359252
rank,-0.6191030217060787,0.6191030217060787
previous.points,0.5904622923155249,0.5904622923155249
avg_potential,-0.5373469459580704,0.5373469459580704
total.points,0.45432674745756113,0.45432674745756113
avg_defending,0.3020636875856383,0.3020636875856383
wc_experience_score,-0.2979665867967934,0.2979665867967934
avg_physic,-0.2377429753961365,0.2377429753961365
avg_dribbling,-0.21364237134591746,0.21364237134591746
avg_pace,-0.15731753628064526,0.15731753628064526
avg_shooting,0.04006807008370857,0.04006807008370857
avg_overall,0.035459622166534886,0.035459622166534886
confederation_rank,0.012790111749479253,0.012790111749479253
