Feature,Importance
avg_passing,0.17102548202983264
total.points,0.1323480197624335
rank,0.1150138541986248
previous.points,0.10523146315054076
avg_overall,0.07865563944099457
avg_defending,0.06782655662229402
avg_physic,0.0522367977967487
avg_shooting,0.05156402861425279
confederation_rank,0.04808165943989871
avg_pace,0.045395340474997464
avg_potential,0.04490634912886032
wc_experience_score,0.04393446564538467
avg_dribbling,0.043780343695137086
