date,semester,rank,team_name,acronym,total.points,previous.points,diff.points,confederation,qualified_2026,total_goals,penalty_goals,own_goals,clean_goals,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,wc_total_goals,wc_tournaments,wc_experience_score,points_momentum,squad_quality,attack_rating,defense_rating,goal_efficiency,experience_factor,qualification_probability
2024,2,22,Austria,AUT,1589.84,1589.17,0.669999999999845,,0,118.0,10.0,4.0,104.0,65.11,82.0,277.0,70.97,24.9,66.73,52.4,57.35,61.4,53.8,65.58,43.0,7.0,159.0,0.669999999999845,67.45,60.18,59.69,1.18,0.32,0.56
2024,2,23,Korea Republic,KOR,1585.45,1589.93,-4.48,AFC,1,0.0,0.0,0.0,0.0,60.44,85.0,411.0,65.37,25.58,66.65,48.02,51.91,58.23,48.33,63.49,0.0,0.0,0.0,-4.48,62.41,57.63,55.91,0.0,0.0,1.0
2024,2,24,Ecuador,ECU,1560.13,1536.32,23.8100000000002,CONMEBOL,1,80.0,9.0,2.0,69.0,66.79,87.0,124.0,71.45,25.93,73.27,54.3,58.48,64.56,52.59,64.66,14.0,4.0,69.0,23.8100000000002,68.65,64.04,58.62,0.8,0.18,1.0
2024,2,25,Ukraine,UKR,1554.94,1552.37,2.57000000000016,,0,98.0,7.0,3.0,88.0,69.19,83.0,95.0,74.24,25.04,69.89,56.0,61.47,66.01,55.43,66.4,5.0,1.0,21.0,2.57000000000016,71.21,63.97,60.92,0.98,0.05,0.5
2024,2,26,Australia,AUS,1544.15,1552.77,-8.62,AFC,1,135.0,16.0,3.0,116.0,61.11,78.0,308.0,69.05,24.24,68.6,49.38,53.42,59.04,49.71,64.85,17.0,5.0,88.0,-8.62,64.29,59.01,57.28,1.35,0.23,1.0
2024,2,27,Sweden,SWE,1540.2,1530.41,9.78999999999996,,0,120.0,16.0,5.0,99.0,64.97,88.0,406.0,71.25,24.84,68.07,52.63,57.02,62.63,51.09,65.02,80.0,12.0,286.0,9.78999999999996,67.48,61.11,58.06,1.2,0.55,0.46
2024,2,28,Türkiye,TUR,1537.24,1548.15,-10.91,,0,0.0,0.0,0.0,0.0,65.97,86.0,269.0,71.91,25.04,67.52,53.66,58.68,64.11,53.76,63.29,0.0,0.0,0.0,-10.91,68.35,61.76,58.52,0.0,0.0,0.44
2024,2,29,Wales,WAL,1534.39,1528.96,5.43000000000006,,0,94.0,8.0,4.0,82.0,63.23,79.0,144.0,69.17,24.68,67.91,51.38,56.33,61.25,52.66,64.36,5.0,2.0,31.0,5.43000000000006,65.61,60.18,58.51,0.94,0.09,0.42
2024,2,30,Hungary,HUN,1517.57,1519.33,-1.76,,0,107.0,6.0,4.0,97.0,67.77,85.0,62.0,71.92,26.13,68.24,54.5,59.21,63.19,54.61,66.97,87.0,9.0,268.0,-1.76,69.43,61.98,60.79,1.07,0.41,0.4
2024,2,31,Canada,CAN,1515.96,1507.27,8.69000000000005,CONCACAF,1,124.0,10.0,6.0,108.0,65.3,84.0,84.0,70.83,24.92,70.42,52.58,56.67,62.63,52.93,65.88,2.0,1.0,14.0,8.69000000000005,67.51,61.88,59.4,1.24,0.05,1.0
2024,2,32,Serbia,SRB,1514.28,1511.16,3.11999999999989,,0,120.0,9.0,4.0,107.0,68.29,84.0,117.0,73.66,25.36,64.29,52.88,57.08,61.8,54.09,68.23,9.0,3.0,48.0,3.11999999999989,70.44,59.66,61.16,1.2,0.14,0.36
2024,2,33,Egypt,EGY,1513.48,1526.25,-12.77,CAF,1,46.0,7.0,2.0,37.0,70.6,91.0,10.0,74.7,27.2,64.5,56.4,58.5,64.2,50.6,70.8,5.0,3.0,42.0,-12.77,72.24,61.7,60.7,0.46,0.14,1.0
2024,2,34,Russia,RUS,1512.32,1508.73,3.58999999999992,,0,95.0,7.0,6.0,82.0,69.94,79.0,18.0,73.22,27.06,67.67,58.78,61.44,65.67,52.39,66.39,24.0,4.0,92.0,3.58999999999992,71.25,64.04,59.39,0.95,0.18,0.32
2024,2,35,Poland,POL,1510.62,1523.19,-12.57,,0,141.0,13.0,4.0,124.0,64.69,88.0,332.0,69.98,24.79,68.2,52.74,57.53,62.12,52.41,64.56,49.0,9.0,191.0,-12.57,66.81,61.02,58.48,1.41,0.41,0.3
2024,2,36,Panama,PAN,1504.39,1493.8,10.5900000000001,,0,114.0,9.0,7.0,98.0,66.47,76.0,15.0,71.47,26.33,67.6,51.87,58.67,62.73,54.4,66.73,2.0,1.0,14.0,10.5900000000001,68.47,60.73,60.56,1.14,0.05,0.28
2024,2,37,Algeria,ALG,1495.85,1496.94,-1.09,CAF,1,67.0,6.0,4.0,57.0,70.62,84.0,60.0,75.03,25.72,69.62,62.03,65.65,71.37,50.43,64.22,13.0,3.0,57.0,-1.09,72.38,67.67,57.32,0.67,0.14,1.0
2024,2,38,Romania,ROU,1494.2,1487.22,6.98000000000002,,0,89.0,8.0,0.0,81.0,63.14,79.0,294.0,68.13,24.89,69.35,52.82,56.74,61.49,49.09,63.01,30.0,7.0,132.0,6.98000000000002,65.14,61.22,56.05,0.89,0.32,0.24
2024,2,39,Greece,GRE,1489.88,1487.42,2.46000000000004,,0,83.0,6.0,5.0,72.0,68.73,82.0,105.0,74.36,24.86,70.31,55.58,59.83,64.98,54.26,67.72,5.0,2.0,31.0,2.46000000000004,70.98,63.62,60.99,0.83,0.09,0.22
2024,2,40,Peru,PER,1488.42,1494.24,-5.82,,0,76.0,4.0,5.0,67.0,65.98,75.0,110.0,70.61,26.18,67.4,52.89,57.46,62.7,53.25,62.28,21.0,5.0,94.0,-5.82,67.83,61.0,57.76,0.76,0.23,0.2
2024,2,41,Slovakia,SVK,1486.19,1489.88,-3.69,,0,99.0,3.0,2.0,94.0,68.88,83.0,57.0,72.16,26.79,68.05,57.3,60.54,64.96,54.18,67.26,5.0,1.0,21.0,-3.69,70.19,63.44,60.72,0.99,0.05,0.18
2024,2,42,Czechia,CZE,1484.88,1480.39,4.49000000000001,,0,0.0,0.0,0.0,0.0,71.15,85.0,93.0,74.46,26.29,69.39,59.03,63.35,67.25,56.22,70.59,0.0,0.0,0.0,4.49000000000001,72.47,65.22,63.4,0.0,0.0,0.16
2024,2,43,Norway,NOR,1484.44,1473.5,10.9400000000001,,0,100.0,11.0,5.0,84.0,64.67,90.0,424.0,71.85,24.4,68.39,53.37,57.3,62.65,51.5,65.33,7.0,3.0,45.0,10.9400000000001,67.54,61.47,58.42,1.0,0.14,0.14
2024,2,44,Nigeria,NGA,1482.23,1503.29,-21.06,,0,49.0,7.0,2.0,40.0,66.77,87.0,151.0,73.1,23.8,75.01,57.17,56.24,64.65,44.65,65.56,23.0,6.0,108.0,-21.06,69.3,65.61,55.1,0.49,0.27,0.12
2024,2,45,Scotland,SCO,1480.24,1461.34,18.9000000000001,,0,115.0,9.0,6.0,100.0,64.52,85.0,265.0,69.26,25.97,67.77,53.21,57.65,62.66,52.72,64.94,25.0,7.0,123.0,18.9000000000001,66.42,61.21,58.83,1.15,0.32,0.1
2024,2,46,Côte d'Ivoire,CIV,1478.47,1493.57,-15.1,CAF,1,0.0,0.0,0.0,0.0,67.35,81.0,144.0,74.03,23.76,71.76,53.71,57.6,64.76,50.21,65.81,0.0,0.0,0.0,-15.1,70.02,63.41,58.01,0.0,0.0,1.0
2024,2,47,Venezuela,VEN,1475.71,1482.47,-6.76,,0,51.0,3.0,0.0,48.0,64.79,81.0,115.0,70.3,25.52,68.89,54.57,56.57,62.27,48.47,61.15,0.0,0.0,0.0,-6.76,66.99,61.91,54.81,0.51,0.0,0.1
2024,2,48,Qatar,QAT,1474.6,1478.6,-4.0,AFC,1,108.0,12.0,1.0,95.0,67.53,78.0,30.0,70.77,28.27,70.33,54.97,59.23,63.4,54.2,66.5,1.0,1.0,12.0,-4.0,68.83,62.9,60.35,1.08,0.05,1.0
2024,2,49,Cameroon,CMR,1471.49,1472.12,-0.63,,0,62.0,6.0,1.0,55.0,67.42,85.0,80.0,72.54,24.79,71.71,54.28,57.14,63.95,50.85,68.47,22.0,8.0,126.0,-0.63,69.47,63.31,59.66,0.62,0.36,0.1
2024,2,50,Chile,CHI,1469.44,1455.22,14.22,,0,85.0,5.0,1.0,79.0,65.98,77.0,168.0,70.83,26.61,68.54,51.49,57.41,62.18,51.82,65.38,40.0,9.0,173.0,14.22,67.92,60.74,58.6,0.85,0.41,0.1
2024,2,51,Mali,MLI,1466.1,1454.84,11.26,,0,35.0,6.0,1.0,28.0,67.61,79.0,74.0,74.2,24.03,70.43,54.28,58.19,64.61,54.66,67.46,0.0,0.0,0.0,11.26,70.25,63.11,61.06,0.35,0.0,0.05
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.1,CAF,1,56.0,8.0,3.0,45.0,67.03,80.0,31.0,72.42,24.81,69.23,55.26,59.81,65.1,52.48,64.87,14.0,6.0,90.0,-14.1,69.19,63.2,58.68,0.56,0.27,1.0
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48,CONMEBOL,1,52.0,5.0,2.0,45.0,65.93,79.0,161.0,71.19,25.76,68.18,53.25,56.59,62.06,50.4,63.6,30.0,8.0,141.0,17.48,68.03,61.16,57.0,0.52,0.36,1.0
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.58,,0,87.0,7.0,3.0,77.0,67.15,71.0,13.0,72.31,25.46,72.38,56.31,56.77,64.08,47.69,62.77,22.0,6.0,104.0,-10.58,69.21,64.26,55.23,0.87,0.27,0.05
2024,2,55,Slovenia,SVN,1454.25,1459.59,-5.34,,0,97.0,11.0,3.0,83.0,68.06,88.0,52.0,72.37,25.6,68.0,54.25,59.27,63.94,54.46,66.73,5.0,2.0,30.0,-5.34,69.78,62.06,60.6,0.97,0.09,0.05
2024,2,56,Iraq,IRQ,1442.86,1434.4,8.45999999999981,,0,68.0,8.0,2.0,58.0,65.43,68.0,14.0,71.93,23.57,72.86,58.57,59.21,66.64,44.64,63.79,1.0,1.0,12.0,8.45999999999981,68.03,66.02,54.22,0.68,0.05,0.05
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999,CAF,1,30.0,3.0,2.0,25.0,65.25,73.0,16.0,71.25,23.69,75.44,52.81,55.62,63.81,48.94,61.31,11.0,3.0,54.0,12.8899999999999,67.65,64.02,55.12,0.3,0.14,1.0
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.33,AFC,1,63.0,2.0,1.0,60.0,69.4,77.0,5.0,76.4,23.6,70.4,54.6,60.0,64.0,53.0,63.2,0.0,0.0,0.0,-4.33,72.2,63.0,58.1,0.63,0.0,1.0
